ID_bien;Surface Carrez du 1er lot;Code type local;Type local;Nombre pieces principales;ID_commune
753;21.83;2;Appartement;1;753
754;50.01;2;Appartement;2;754
755;35.53;2;Appartement;1;755
756;117.5;2;Appartement;4;756
757;36.4;2;Appartement;5;757
758;26;2;Appartement;1;758
759;42.26;2;Appartement;2;759
760;85.71;2;Appartement;2;760
761;38.03;2;Appartement;1;761
762;91.41;2;Appartement;5;762
763;84.01;2;Appartement;3;763
764;23.74;2;Appartement;1;764
765;18.74;2;Appartement;1;765
766;32.47;2;Appartement;1;766
767;67.18;2;Appartement;3;767
768;99.84;1;Maison;5;768
769;16.13;2;Appartement;1;769
770;31.43;2;Appartement;2;770
771;52.8;2;Appartement;1;771
772;47.5;2;Appartement;3;772
773;96.39;1;Maison;5;773
774;107.24;2;Appartement;4;774
775;55.44;2;Appartement;2;775
776;91.23;2;Appartement;4;776
777;41.01;2;Appartement;2;777
778;99.18;2;Appartement;4;778
779;67.08;2;Appartement;3;779
780;46.81;2;Appartement;2;780
781;29.41;2;Appartement;1;781
782;20.6;2;Appartement;1;782
783;72.3;2;Appartement;4;783
784;29.02;2;Appartement;1;784
785;64.61;2;Appartement;3;785
786;61.8;2;Appartement;3;786
787;136.68;2;Appartement;6;787
788;75.47;2;Appartement;3;788
789;36.54;2;Appartement;1;789
790;29.72;2;Appartement;2;790
791;44.39;2;Appartement;2;791
792;27;2;Appartement;1;792
793;100.56;1;Maison;5;793
794;30.05;2;Appartement;2;794
795;17.04;2;Appartement;1;795
796;20.85;2;Appartement;1;796
797;34.51;2;Appartement;2;797
798;68.36;2;Appartement;3;798
799;68.43;2;Appartement;3;799
800;31.61;2;Appartement;1;800
801;20;2;Appartement;1;801
802;28.71;2;Appartement;1;802
803;48.52;2;Appartement;2;803
804;21.55;2;Appartement;1;804
805;17.25;2;Appartement;1;805
806;44.36;2;Appartement;2;806
807;98.81;2;Appartement;4;807
808;15.85;2;Appartement;1;808
809;24.3;2;Appartement;1;809
810;46.69;2;Appartement;2;810
811;66.48;2;Appartement;3;811
812;15.85;2;Appartement;1;812
